,Screen Name,Tweet,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
384,nytimes,"RT @SopanDeb: **NEW**: In a lengthy (and remarkable) interview with Kyrie Irving, he repeatedly questioned whether the Earth is flat or rou…",2018-06-09 03:40:03+00:00,-0.1027,0.0,0.065,0.935,385
385,nytimes,"Breaking News: The Golden State Warriors have won their third N.B.A. title in four years, sweeping LeBron James and… https://t.co/jbvTIZsZrD",2018-06-09 03:29:11+00:00,0.5719,0.163,0.0,0.837,386
386,nytimes,"At a moment of tumult over trade and nuclear security, President Trump is making friends with America’s enemies and… https://t.co/JtgvrhRvJ6",2018-06-09 03:26:27+00:00,0.3182,0.223,0.13,0.648,387
387,nytimes,"Discover an ""irony free zone where everything is beautiful and nothing hurts.""

What to watch, what to read and wha… https://t.co/gMtAyyRjDD",2018-06-09 02:55:05+00:00,0.7906,0.273,0.045,0.682,388
388,nytimes,President Trump suggested the Group of 7 nations reinstate Russia 4 years after it was cast out for annexing Crimea https://t.co/ZQQDfGp5GN,2018-06-09 02:36:05+00:00,0.0,0.0,0.0,1.0,389
389,nytimes,"RT @nytopinion: Anthony Bourdain exhorted us to open our eyes -- and our guts -- to the wondrous smorgasbord of life, and to savor every la…",2018-06-09 02:24:01+00:00,0.0,0.0,0.0,1.0,390
390,nytimes,"Modern Love: ""I had found a strange liberation in submitting to Dan, but it was only a first step. I wanted the dom… https://t.co/WHIRIHGpqQ",2018-06-09 02:08:01+00:00,0.296,0.113,0.061,0.826,391
391,nytimes,"During this season’s playoffs, LeBron James has accounted for nearly a third of the box-score statistics for the Ca… https://t.co/bugUyF7TK4",2018-06-09 01:56:23+00:00,0.0,0.0,0.0,1.0,392
392,nytimes,No one in the NBA has come close to LeBron James's share of a team’s production for over 40 years https://t.co/YqE8zZiiWg,2018-06-09 01:53:49+00:00,0.0,0.098,0.098,0.804,393
393,nytimes,Kyrie Irving Doesn’t Know if the Earth Is Round or Flat. He Does Want to Discuss It. https://t.co/1ET48Grban,2018-06-09 01:49:04+00:00,0.0772,0.071,0.0,0.929,394
394,nytimes,"LIVE: The Golden State Warriors vs. the Cleveland Cavaliers 

Game 4 updates and analysis https://t.co/3DmQOo5lNw",2018-06-09 01:34:11+00:00,0.0,0.0,0.0,1.0,395
395,nytimes,"Opinion: If There’s a Red Wave Election in 2018, This Will Be Why https://t.co/B0Nmgi1kdN",2018-06-09 01:23:06+00:00,0.0,0.0,0.0,1.0,396
396,nytimes,Opinion: Anthony Bourdain Was the Kind of ‘Bad Boy’ We Need More Of https://t.co/S8JhWFX9Jw,2018-06-09 01:04:27+00:00,0.0,0.0,0.0,1.0,397
397,nytimes,Trump’s New Plan to Dismantle Obamacare Comes With Political Risks https://t.co/Ju2Fw08xUY,2018-06-09 00:50:49+00:00,-0.2732,0.0,0.174,0.826,398
398,nytimes,Press Groups Criticize the Seizing of a Times Reporter’s Records https://t.co/Sqp3BXEBVB,2018-06-09 00:36:17+00:00,-0.3818,0.0,0.224,0.776,399
399,nytimes,"RT @nytfood: ""Anthony Bourdain entered the literary stage with an inside tip, delivered in the gruff whisper of a racetrack tout: Don’t ord…",2018-06-09 00:25:28+00:00,-0.128,0.0,0.067,0.933,400
400,FoxNews,Taliban announce cease-fire over Eid holiday for 1st time https://t.co/LCHkJcQMW3,2018-06-09 22:48:34+00:00,0.4019,0.231,0.0,0.769,401
401,FoxNews,".@VP on Otto Warmbier: ""Today I assured his dad as [@POTUS] said two days ago, their beloved son Otto Warmbier will… https://t.co/ZWPmRWK0Fj",2018-06-09 22:38:46+00:00,0.7003,0.234,0.0,0.766,402
402,FoxNews,".@VP on North Korea summit: ""So America, let's pray for [@POTUS] and let's pray for peace for the Korean people and… https://t.co/ODJl1K4kfh",2018-06-09 22:37:22+00:00,0.8238,0.312,0.0,0.688,403
403,FoxNews,".@VP on North Korea summit: ""We will not repeat the mistakes of the past."" https://t.co/vkdzKjHLD1",2018-06-09 22:35:24+00:00,0.2755,0.131,0.0,0.869,404
404,FoxNews,".@VP: ""As President @realDonaldTrump embarks on this historic quest for peace, I can assure you that he also goes w… https://t.co/0kzlNxMy53",2018-06-09 22:33:28+00:00,0.7096,0.247,0.0,0.753,405
405,FoxNews,".@VP on Singapore summit: ""After years of failed policies and broken promises last year, President @realDonaldTrump… https://t.co/M1kPHystbo",2018-06-09 22:31:23+00:00,-0.5859,0.113,0.278,0.609,406
406,FoxNews,".@VP on North Korea summit: ""Our president is going into this summit with his eyes wide open."" https://t.co/wOy8M4d88p",2018-06-09 22:31:09+00:00,0.0,0.0,0.0,1.0,407
407,FoxNews,".@VP on North Korea summit: ""The truth is, [@realDonaldTrump] has been preparing for this his whole life."" https://t.co/xe4EOjiKsK",2018-06-09 22:29:49+00:00,0.3182,0.119,0.0,0.881,408
408,FoxNews,".@VP: ""[@POTUS] spent the last two days at the G7 summit in Canada putting America first."" https://t.co/tWO4i7PqEx",2018-06-09 22:25:05+00:00,0.0,0.0,0.0,1.0,409
409,FoxNews,".@VP: ""I want to begin tonight by bringing greetings from a leader who's been delivering every day on his promise t… https://t.co/czUfsg6Edj",2018-06-09 22:22:26+00:00,0.6597,0.262,0.0,0.738,410
